iter	Passed	Remaining
0	11	3330
1	19	2972
2	28	2837
3	37	2806
4	46	2754
5	55	2741
6	64	2716
7	73	2697
8	82	2668
9	91	2647
10	99	2621
11	109	2618
12	118	2614
13	128	2617
14	138	2625
15	147	2618
16	157	2614
17	167	2619
18	176	2611
19	186	2606
20	196	2608
21	205	2600
22	214	2582
23	222	2560
24	231	2548
25	242	2560
26	253	2564
27	264	2573
28	274	2565
29	285	2568
30	295	2559
31	305	2557
32	314	2541
33	323	2532
34	331	2512
35	340	2495
36	349	2482
37	358	2470
38	366	2455
39	374	2436
40	383	2421
41	391	2405
42	400	2394
43	409	2384
44	418	2369
45	427	2358
46	436	2347
47	445	2338
48	453	2322
49	463	2315
50	472	2308
51	481	2296
52	490	2284
53	499	2274
54	508	2263
55	517	2255
56	528	2253
57	537	2244
58	546	2232
59	555	2222
60	564	2212
61	574	2204
62	583	2195
63	592	2184
64	601	2173
65	610	2165
66	620	2156
67	629	2147
68	638	2139
69	648	2131
70	659	2127
71	669	2119
72	678	2111
73	688	2101
74	698	2096
75	708	2088
76	718	2080
77	727	2071
78	737	2062
79	747	2054
80	756	2044
81	765	2034
82	776	2029
83	788	2027
84	798	2020
85	809	2013
86	819	2005
87	828	1996
88	838	1988
89	848	1979
90	859	1973
91	870	1967
92	881	1962
93	893	1957
94	903	1949
95	914	1942
96	924	1934
97	934	1925
98	944	1917
99	955	1911
100	966	1905
101	976	1895
102	986	1885
103	996	1878
104	1006	1868
105	1015	1858
106	1025	1850
107	1035	1841
108	1045	1831
109	1055	1823
110	1065	1813
111	1074	1804
112	1084	1794
113	1094	1785
114	1104	1777
115	1114	1767
116	1123	1757
117	1134	1749
118	1145	1741
119	1157	1735
120	1168	1728
121	1178	1719
122	1189	1712
123	1200	1703
124	1211	1696
125	1222	1687
126	1232	1678
127	1242	1669
128	1251	1659
129	1260	1648
130	1271	1640
131	1282	1632
132	1295	1626
133	1304	1616
134	1314	1606
135	1323	1596
136	1332	1585
137	1342	1575
138	1351	1565
139	1360	1554
140	1370	1545
141	1379	1534
142	1388	1524
143	1397	1513
144	1406	1503
145	1416	1494
146	1425	1483
147	1434	1473
148	1443	1462
149	1451	1451
150	1460	1441
151	1470	1431
152	1479	1421
153	1488	1411
154	1499	1402
155	1508	1392
156	1517	1382
157	1526	1371
158	1535	1362
159	1545	1352
160	1554	1342
161	1563	1332
162	1573	1322
163	1582	1312
164	1590	1301
165	1600	1291
166	1609	1282
167	1619	1272
168	1629	1262
169	1638	1253
170	1648	1243
171	1658	1234
172	1667	1224
173	1677	1214
174	1686	1204
175	1696	1195
176	1705	1185
177	1714	1175
178	1723	1165
179	1733	1155
180	1743	1146
181	1752	1136
182	1760	1125
183	1770	1116
184	1778	1105
185	1787	1095
186	1797	1085
187	1805	1075
188	1814	1065
189	1823	1055
190	1831	1045
191	1840	1035
192	1849	1025
193	1858	1015
194	1866	1005
195	1875	995
196	1884	985
197	1893	975
198	1902	965
199	1911	955
200	1920	945
201	1929	936
202	1939	926
203	1948	916
204	1956	906
205	1965	896
206	1974	886
207	1982	876
208	1991	867
209	2001	857
210	2010	847
211	2019	838
212	2027	828
213	2036	818
214	2045	808
215	2054	798
216	2063	789
217	2072	779
218	2080	769
219	2089	759
220	2098	750
221	2106	740
222	2115	730
223	2124	720
224	2133	711
225	2142	701
226	2151	692
227	2161	682
228	2170	673
229	2180	663
230	2188	653
231	2197	644
232	2206	634
233	2215	624
234	2224	615
235	2233	605
236	2241	595
237	2251	586
238	2261	577
239	2270	567
240	2280	558
241	2289	548
242	2299	539
243	2307	529
244	2322	521
245	2342	514
246	2353	505
247	2363	495
248	2371	485
249	2380	476
250	2389	466
251	2397	456
252	2405	446
253	2413	437
254	2422	427
255	2430	417
256	2438	408
257	2446	398
258	2455	388
259	2463	378
260	2479	370
261	2492	361
262	2503	352
263	2512	342
264	2521	333
265	2530	323
266	2540	313
267	2548	304
268	2557	294
269	2565	285
270	2573	275
271	2582	265
272	2591	256
273	2601	246
274	2609	237
275	2618	227
276	2627	218
277	2636	208
278	2644	199
279	2653	189
280	2661	179
281	2670	170
282	2678	160
283	2687	151
284	2697	141
285	2706	132
286	2715	123
287	2724	113
288	2732	103
289	2740	94
290	2749	85
291	2758	75
292	2767	66
293	2775	56
294	2785	47
295	2794	37
296	2803	28
297	2812	18
298	2821	9
299	2830	0
